Annie Hall,tt0075686,http://www.imdb.com/title/tt0075686/?ref_=fn_tt_tt_1,93 min,English| German,USA,20 Apr 1977,release_countrytt0075686,4000000,Comedy| Romance,breaking the fourth wall|comedian|jewish|neurosis|singer,1977,213|310,Woody Allen,1853810,Woody Allen,1853810,Diane Keaton,117588,Tony Roberts,46890,Carol Kane,1778,movie_trailer_views,movie_trailer_likes,movie_trailer_unlikes,United Artists,9
The Greatest Show on Earth,tt0044672,http://www.imdb.com/title/tt0044672/?ref_=fn_tt_tt_1,152 min,English| Russian,USA,01 May 1952,release_countrytt0044672,4000000,Drama| Family| Romance,circus|clown|elephant trainer|trapeze|trapeze artist,1952,10|283,Cecil B. DeMille,7119,Betty Hutton,3845,Cornel Wilde,2189,Charlton Heston,24208,Dorothy Lamour,3468,movie_trailer_views,movie_trailer_likes,movie_trailer_unlikes,Paramount Pictures,7
Exodus: Gods and Kings,tt1528100,http://www.imdb.com/title/tt1528100/?ref_=fn_tt_tt_1,150 min,English,UK| Spain| USA,12 Dec 2014,release_countrytt1528100,140000000,Action| Adventure| Drama,egypt|exodus|moses|pharaoh|plague,2014,140|157,Ridley Scott,133303,Christian Bale,1307325,Joel Edgerton,19111,John Turturro,33241,Aaron Paul,1676099,movie_trailer_views,movie_trailer_likes,movie_trailer_unlikes,20th Century Fox,6
Monster*s Ball,tt0285742,http://www.imdb.com/title/tt0285742/?ref_=fn_tt_tt_1,111 min,English,USA,01 Mar 2002,release_countrytt0285742,4000000,Drama| Romance,cunnilingus|female frontal nudity|female nudity|interracial sex|rear entry sex,2001,74|483,Marc Forster,3399,Billy Bob Thornton,35217,Taylor Simpson,140054,Gabrielle Witcher,0,Heath Ledger,881437,movie_trailer_views,movie_trailer_likes,movie_trailer_unlikes,Lions Gate Films Inc.,8
Maggie,tt1881002,http://www.imdb.com/title/tt1881002/?ref_=fn_tt_tt_1,95 min,English,USA| Switzerland,08 May 2015,release_countrytt1881002,8500000,Drama| Horror,father daughter relationship|playing against type|post apocalypse|protective father|zombie apocalypse,2015,35|122,Henry Hobson,1184,Arnold Schwarzenegger,16594217,Abigail Breslin,152084,Joely Richardson,5580,Douglas M. Griffin,0,movie_trailer_views,movie_trailer_likes,movie_trailer_unlikes,Lionsgate Films,6
Leaving Las Vegas,tt0113627,http://www.imdb.com/title/tt0113627/?ref_=fn_tt_tt_1,111 min,English| Russian,France| UK| USA,09 Feb 1996,release_countrytt0113627,3600000,Drama| Romance,alcoholic|bar|love|prostitute|sex,1995,99|239,Mike Figgis,1091,Nicolas Cage,214212,Elisabeth Shue,23609,Julian Sands,4515,Richard Lewis,3109,movie_trailer_views,movie_trailer_likes,movie_trailer_unlikes,United Artists,8
Hansel & Gretel Get Baked,tt2081194,http://www.imdb.com/title/tt2081194/?ref_=fn_tt_tt_1,86 min,English,USA,19 Feb 2013,release_countrytt2081194,4500000,Comedy| Horror,hansel and gretel|lesbian kiss|marijuana|witch|witchcraft,2013,2|979,Duane Journey,801,Molly C. Quinn,5311,Michael Welch,416938,Lara Flynn Boyle,7287,Cary Elwes,165338,movie_trailer_views,movie_trailer_likes,movie_trailer_unlikes,Tribeca Films,5
The Return of the Living Dead,tt0089907,http://www.imdb.com/title/tt0089907/?ref_=fn_tt_tt_1,91 min,English,USA,16 Aug 1985,release_countrytt0089907,4000000,Comedy| Horror,crematorium|female frontal nudity|naked dead woman|paramedic|poison gas,1985,43|145,Dan O*Bannon,3305,Clu Gulager,1066,James Karen,12258,Don Calfa,1303,Thom Mathews,2810,movie_trailer_views,movie_trailer_likes,movie_trailer_unlikes,HBO Video,8
The Front Page,tt0071524,http://www.imdb.com/title/tt0071524/?ref_=fn_tt_tt_1,105 min,English,USA,18 Dec 1974,release_countrytt0071524,4000000,Comedy| Drama| Romance,1920s|communist|escape from jail|newspaper|reporter,1974,9|868,Billy Wilder,42543,Jack Lemmon,23854,Walter Matthau,13284,Susan Sarandon,1006023,Vincent Gardenia,1506,movie_trailer_views,movie_trailer_likes,movie_trailer_unlikes,Universal Pictures,8
The Boy Next Door,tt3181822,http://www.imdb.com/title/tt3181822/?ref_=fn_tt_tt_1,91 min,English,USA,23 Jan 2015,release_countrytt3181822,4000000,Mystery| Thriller,adultery|argument|older woman younger man relationship|oral sex|sex scene,2015,30|957,Rob Cohen,1024,Jennifer Lopez,45136883,Ryan Guzman,666917,Ian Nelson,18982,John Corbett,14505,movie_trailer_views,movie_trailer_likes,movie_trailer_unlikes,Universal Pictures,5
Trapeze,tt0049875,http://www.imdb.com/title/tt0049875/?ref_=fn_tt_tt_1,105 min,English| Italian,USA| France,30 May 1956,release_countrytt0049875,4000000,Drama| Romance,acrobat|circus|cripple|trapeze|trapeze artist,1956,3|411,Carol Reed,3055,Burt Lancaster,24589,Tony Curtis,16688,Gina Lollobrigida,24175,Katy Jurado,1727,movie_trailer_views,movie_trailer_likes,movie_trailer_unlikes,Hill-Hecht-Lancaster Productions,7
The Kids Are All Right,tt0842926,http://www.imdb.com/title/tt0842926/?ref_=fn_tt_tt_1,106 min,English,USA,30 Jul 2010,release_countrytt0842926,3500000,Comedy| Drama| Romance,biological father|college|motorcycle|sperm|sperm donor,2010,115|410,Lisa Cholodenko,880,Julianne Moore,168392,Annette Bening,16336,Mark Ruffalo,3326939,Mia Wasikowska,86367,movie_trailer_views,movie_trailer_likes,movie_trailer_unlikes,Focus Features,8
They Live,tt0096256,http://www.imdb.com/title/tt0096256/?ref_=fn_tt_tt_1,94 min,English,USA,04 Nov 1988,release_countrytt0096256,4000000,Action| Horror| Sci-Fi,alien|brainwashing|construction worker|sunglasses|teleportation,1988,83|103,John Carpenter,283827,Roddy Piper,71860,Keith David,12336,Meg Foster,1464,George *Buck* Flower,157,movie_trailer_views,movie_trailer_likes,movie_trailer_unlikes,MCA/Universal Pictures,8
