movie_title,imdb_id,duration,language,country,release_date,release_country,budget,genres,title_year,num_voted_users,director_name,director_facebook_likes,actor_1_name,actor_1_facebook_likes,actor_2_name,actor_2_facebook_likes,actor_3_name,actor_3_facebook_likes,actor_4_name,actor_4_facebook_likes,movie_trailer_views,movie_trailer_likes,movie_trailer_unlikes,production,imdb_score
Vigilantes,tt0840026,100,English,USA,29 Jul 2006,release_countrytt0840026,budget,Action| Comedy| Drama,2006,58,Trevor L. Smith,200,null,8530,null,8530,null,8530,null,8530,189732,1033,45,N/A,5
Mother India,tt2071530,63,English,Italy| India,07 Mar 2012,release_countrytt2071530,budget,Documentary| Family,2011,10,Raffaele Brunetti,0,null,8530,null,8530,null,8530,null,8530,14823,31,2,N/A,5
A Get2Gether,tt0493129,98,English,USA,28 Sep 2005,release_countrytt0493129,budget,Comedy,2005,24,Ceon Forte,0,null,8530,null,8530,null,8530,null,8530,0,0,0,UrbanWorks Entertainment,5
Tolla is Tops,tt2145732,90,Afrikaans| English,South Africa,28 Dec 1990,release_countrytt2145732,budget,Comedy,1990,10,Elmo de Witt,1,null,8530,null,8530,null,8530,null,8530,0,0,0,N/A,4
The Lights,tt6268196,70,English,Australia,08 Feb 2016,release_countrytt6268196,budget,Horror,2016,6,Christopher Krupa| Sam Kinlyside,0,null,8530,null,8530,null,8530,null,8530,2378591,17349,231,N/A,5
19 Revolutions,tt0407485,94,Hindi| Telugu| Urdu| English,India,06 Nov 2004,release_countrytt0407485,budget,Drama,2004,15,Sridhar Reddy,61731,null,8530,null,8530,null,8530,null,8530,0,0,0,N/A,5
Rulers and Dealers,tt0864880,93,English,UK,14 Sep 2006,release_countrytt0864880,budget,Drama,2006,10,Stephen Lloyd Jackson,0,null,8530,null,8530,null,8530,null,8530,0,0,0,N/A,5
Barstool Cowboy,tt1316032,90,English,USA,01 Jan 2009,release_countrytt1316032,budget,Drama,2009,43,Mark Thimijan,0,null,8530,null,8530,null,8530,null,8530,9709,13,1,N/A,5
Exploitation,tt04225110,83,English,UK,01 Jul 2008,release_countrytt3530838,budget,Drama,2008,10,Jason Impey| Kemal Yildirim,505,null,8530,null,8530,null,8530,null,8530,85306,236,8,N/A,4
Jack-the Last Victim,tt0422511,83,English,UK,N/A,release_countrytt0422511,budget,Crime| Horror| Musical,2005,13,Phil Peel,1284,null,8530,null,8530,null,8530,null,8530,0,0,0,N/A,5
Revolution of Everyday Life,tt1791587,76,English,USA,N/A,release_countrytt1791587,budget,Drama,2010,6,Marc Lafia,11,null,8530,null,8530,null,8530,null,8530,0,0,0,N/A,5
The Last Flesh & Blood Show,tt2375637,125,English,USA,26 Jan 2012,release_countrytt2375637,budget,Horror,2012,7,Scout Tafoya,0,null,8530,null,8530,null,8530,null,8530,178,1,0,N/A,4
The Love Lesson,tt0113702,87,English,USA,N/A,release_countrytt0113702,budget,Drama,1995,20,Sharon Greytak,0,null,8530,null,8530,null,8530,null,8530,0,0,0,N/A,5
Why Elvis?,tt0202105,76,English,USA,N/A,release_countrytt0202105,budget,Documentary| Music,1994,21,David Leonard,2724,null,8530,null,8530,null,8530,null,8530,0,0,0,N/A,5
Kosova: Desperate Search,tt0816086,92,Albanian| English,Germany,23 Apr 2006,release_countrytt0816086,budget,Drama| War,2006,49,Sunaj Raca,1,null,8530,null,8530,null,8530,null,8530,0,0,0,N/A,5
Dial D for Demons,tt0296229,87,Cantonese| English,Hong Kong,18 Mar 2000,release_countrytt0296229,budget,Horror,2000,55,Hin Sing *Billy* Tang,1,null,8530,null,8530,null,8530,null,8530,0,0,0,N/A,5
